"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"06/09/2020","K202003907","Residential Pool",,"14515 WAYNE LEE CT, BAKERSFIELD CA","Finaled",,
"06/08/2020","K202003859","Residential Pool",,"1503 RENOIR AV, BAKERSFIELD CA","Canceled",,
"06/08/2020","K202003848","Residential Pool",,"6609 BLUE JAY RD, LAKE ISABELLA CA","Finaled",,
"06/08/2020","K202003836","Residential Pool",,"15935 QUINTERO PL, KERN COUNTY CA","Finaled",,
"06/05/2020","K202003799","Residential Pool",,"14529 MARJORAM DR, BAKERSFIELD CA","Issued",,
"06/05/2020","K202003793","Residential Pool",,"10010 PALM AV, BAKERSFIELD CA","Finaled",,
"06/05/2020","K202003778","Residential Pool",,"15617 AVANTI DR, BAKERSFIELD CA","Finaled",,
"06/05/2020","K202003776","Residential Pool",,"9603 VAL DI CHIANA DR, BAKERSFIELD CA","Finaled",,
"06/03/2020","K202003703","Residential Pool",,"2344 BAVARIAN AV, ROSAMOND CA","Finaled",,
"06/03/2020","K202003696","Residential Pool",,"15427 SAINT CLEMENT WY, BAKERSFIELD CA","Finaled",,
"05/28/2020","K202104137","Residential Pool",,"16640 ALEXANDER AV, NORTH EDWARDS CA","In Review",,
"05/28/2020","K202003563","Residential Pool",,"8811 CRIPPLE CREEK AV, BAKERSFIELD CA","Finaled",,
"05/27/2020","K202003537","Residential Pool",,"411 ROSEHAVEN LN, TEHACHAPI CA","Canceled",,
"05/26/2020","K202003476","Residential Pool",,"2925 REDWOOD HILL CT, BAKERSFIELD CA","Finaled",,
"05/26/2020","K202003449","Residential Pool",,"17431 WASCO AV, SHAFTER CA","Finaled",,
"05/22/2020","K202003407","Residential Pool",,"15530 SAINT CLEMENT WY, BAKERSFIELD CA","Finaled",,
